,Incident,Location,Reported-edited,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,Hour,Week_Day,Month,Year,Weeks Since Start,Years since start,Months since start,week-composite,month-composite,Day of month,Date
10640,Fire,1447 E. 60th St. (Metra Embankment),43197.56875,43197.56875,Small leaf/grass fire along railroad embank extinguished by CFD / No personal or property damage,Closed,18-00332,13,7,4,2018,405,8,93,7-405,4-93,7,4/7/2018
10641,Theft,5811 S. Ellis,43197.63125,4/7/18 1:30 PM to 2:15 PM,"Unattended, unsecured cell phone placed on a table outside of Cobb Hall was taken by an unknown person",Open,18-00333,15,7,4,2018,405,8,93,7-405,4-93,7,4/7/2018
10642,Information / Traffic Crash / Personal Injury,5100 S. Ellis,43197.77986,43197.77986,Off campus crash involving motor vehicle and bicyclist / Cyclist complained of possible head injury transported to ER by CFD EMS / CPD report JB215262,CPD,18-00334,18,7,4,2018,405,8,93,7-405,4-93,7,4/7/2018
10643,Liquor Law Violation,1414 E. 59th St. (I-House),43198.04653,43198.04653,Underage individual became ill after consuming alcoholic beverages transported to ER by CFD EMS for evaluation and treatment,Referred,18-00335,1,1,4,2018,405,8,93,1-405,4-93,8,4/8/2018
10644,Assist Other Agency,5530 S. Ellis (Ratner A.C.),43198.38611,43198.38611,UCPD officers detained an individual wanted for an aggravated battery by Rolling Meadows PD / Turned over to Rolling Meadows PD,Referred,18-00336,9,1,4,2018,405,8,93,1-405,4-93,8,4/8/2018
10646,Information / Robbery,5118 S. Dorchester (Public Way),43198.89375,43198.88889,Three unknown suspects took an iPhone and bag with laptop computer from individual walking on the sidewalk off campus / UCPD officer located and detained two suspects / Property located and returned to victim / Suspects turned over to CPD and charged with robbery / CPD case JB216476,CPD,18-00338,21,1,4,2018,405,8,93,1-405,4-93,8,4/8/2018
10647,Information / Robbery,5120 S. Dorchester (Public Way),43198.89444,43198.89028,Three unknown suspects took an iPhone from individual walking on the sidewalk off campus / UCPD officer located and detained two suspects / Suspects turned over to CPD and charged with robbery / CPD case JB216482,CPD,18-00339,21,1,4,2018,405,8,93,1-405,4-93,8,4/8/2018
10645,Information / Fire,1112 E. 60th St. (Park Property),43198.91181,43198.91181,Small fire in electrical box on Park District property extinguished by CFD / No injuries reported / Park District notified,Closed,18-00337,21,1,4,2018,405,8,93,1-405,4-93,8,4/8/2018
10648,Theft,5706 S. University (Reynolds Club),43199.37639,4/4/18 to 4/9/18 9:00 AM to 9:00 AM,"A 12""x4"" Restrooms sign taken from 2nd floor wall",Open,18-00340,9,2,4,2018,405,8,93,2-405,4-93,9,4/9/2018
10649,Damage to Property,850 E. 61st St. (UCPD HQ),43199.57431,4/4/18 to 4/5/18 6:00 PM to 7:15 AM,Passenger's side mirror missing from UC owned vehicle,Closed,18-00341,13,2,4,2018,405,8,93,2-405,4-93,9,4/9/2018
10650,Found Property,5735 S. University (Calvert House),43199.57986,43199.54167,3 keys on a key ring were found on the sidewalk in front of Calvert House,Closed,18-00342,13,2,4,2018,405,8,93,2-405,4-93,9,4/9/2018
10651,Information / Suspicious Person,5828 S. University (Quad),43200.52431,43200.5,Report of a suspicious person in the Quad area,Closed,18-00343,12,3,4,2018,405,8,93,3-405,4-93,10,4/10/2018
10652,Recovered Motor Vehicle,5826 S. Maryland (Parking Structure),43200.6125,43200.6125,Unattended vehicle reported stolen in KY. found on 2nd floor of parking structure,Closed,18-00344,14,3,4,2018,405,8,93,3-405,4-93,10,4/10/2018
10653,Information / Fire,826 E. 53rd St.,43200.80833,43200.80833,UCPD officer assisted with traffic control at the scene of an off campus private apartment building fire / CPD case JB218862,CPD,18-00345,19,3,4,2018,405,8,93,3-405,4-93,10,4/10/2018
10654,Criminal Sexual Assault,6031 S. Ellis (Granville-Grossman RH),43201.46736,11/1/17 Unknown time,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that he was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",No Investigation Referred to Title IX Coordinator,CSA Report 18-023,11,4,4,2018,405,8,93,4-405,4-93,11,4/11/2018
10655,Theft,1116 E. 59th St. (Harper),43201.56111,4/11/18 11:00 AM to 1:00 PM,"Unattended, unsecured leather bag left in 4th floor hallway taken by unknown person",Open,18-00346,13,4,4,2018,405,8,93,4-405,4-93,11,4/11/2018
10656,Information / Theft from Person,1660 E. 55th St. (CTA Bus),43201.58472,43201.58333,Unknown suspect grabbed iPhone from victim's hand as they were exiting a CTA bus off campus / Suspect fled on foot to a waiting vehicle / CPD case,CPD,18-00347,14,4,4,2018,405,8,93,4-405,4-93,11,4/11/2018
10657,Injured Person,1116 E. 59th St. (Harper Library),43202.57361,43202.56597,"Individual, making tea, spilled hot water on her left arm / Transported to ER by CFD EMS",Closed,18-00348,13,5,4,2018,406,8,93,5-406,4-93,12,4/12/2018
10658,Information,5801 S. Ellis,43202.65208,43159.89583,Report of a text threat made to a contract employee by another contract employee / Previously reported to CPD / CPD case JB169687,CPD,18-00349,15,5,4,2018,406,8,93,5-406,4-93,12,4/12/2018
10659,Traffic Crash,5215 S. Harper (Loading Dock),43202.68611,43202.68611,Delivery truck struck and damaged loading dock door / No injuries reported / 2018 MVA00064,Closed,18-00350,16,5,4,2018,406,8,93,5-406,4-93,12,4/12/2018
10660,Information / Theft from Person,1160 E. 55th St. (Public Way),43202.70903,43202.61806,Unknown suspect snatched cell phone from the hand of a person walking on the sidewalk off campus / Suspect fled to a waiting vehicle / CPD case JB221361,CPD,18-00351,17,5,4,2018,406,8,93,5-406,4-93,12,4/12/2018
10661,Lost Property,1212 E. 59th St. (Ida Noyes),43202.92778,4/11/18 9:30 PM to 11:45 PM,Individual reports losing laptop while in the building,Closed,18-00352,22,5,4,2018,406,8,93,5-406,4-93,12,4/12/2018
10662,Information / Armed Robbery,6207 S. University,43203.29931,43203.28472,"Two unknown suspects, one armed with a handgun, took an iPhone and cash from a victim walking on the sidewalk off campus / CPD case",CPD,18-00353,7,6,4,2018,406,8,93,6-406,4-93,13,4/13/2018
10663,Burglary,5837 S. Maryland (Lying-In Hospital),43203.37847,4/10/18 10:00 AM to 11:00 AM,Unknown person took a safe box containing cash from a secured desk in an office,Open,18-00354,9,6,4,2018,406,8,93,6-406,4-93,13,4/13/2018
10664,Theft,1126 E. 59th St. (Social Science Research),43203.58333,4/12/18 to 4/13/18 6:20 PM to 12:30 PM,"Unattended, unsecured laptop taken from classroom",Open,18-00355,14,6,4,2018,406,8,93,6-406,4-93,13,4/13/2018
10665,Damage to Property,1111 E. 60th St. (Law School Parking Lot),43203.62222,4/13/18 7:30 AM to 4:30 PM,Damage reported to top of hood and grill of a parked vehicle / Cause unknown at this time,Closed,18-00356,14,6,4,2018,406,8,93,6-406,4-93,13,4/13/2018
10666,Battery,5700 S. Maryland (CCD),43204.44097,43204.43403,"During an argument, one individual kicked another / Suspect fled before police arrived",Open,18-00357,10,7,4,2018,406,8,93,7-406,4-93,14,4/14/2018
10667,Assist Other Agency,5515 S. Everett,43204.96667,43204.96667,UCPD officers assisted CPD locating suspect who ran from a stolen motor vehicle / CPD arrest / JB224350,CPD,18-00358,23,7,4,2018,406,8,93,7-406,4-93,14,4/14/2018
10670,Theft,1346 E. 53rd St. (Target),43205.63681,43205.63542,Subject left store off campus with 2 bottles of alcohol without paying / Detained by store security and arrested by UCPD,Arrest,18-00361,15,1,4,2018,406,8,93,1-406,4-93,15,4/15/2018
10669,Lost Property,Blackstone between 51st & 52nd,43205.64375,4/15/18 12:30 AM to 1:00 AM,Individual lost cell phone possibly in Uber cab or between sidewalk and apartment,Closed,18-00360,15,1,4,2018,406,8,93,1-406,4-93,15,4/15/2018
10671,Mental Health Transport,800 E. 55th St. (Friend Center),43206.47639,43206.47639,Individual transported to the ER for evaluation and treatment,Closed,18-00362,11,2,4,2018,406,8,93,2-406,4-93,16,4/16/2018
10672,Missing Person,Dorchester between 57th & 58th,43206.61111,43206.5625,Caregiver reported individual suffering from dementia was missing,Closed,18-00363,14,2,4,2018,406,8,93,2-406,4-93,16,4/16/2018
10673,Domestic Battery,5730 S. Drexel (Comer Hospital),43206.90139,43206.90139,Boyfriend struck girlfriend in the face with his fist / Arrested by UCPD,Arrest,18-00364,21,2,4,2018,406,8,93,2-406,4-93,16,4/16/2018
10674,Theft,1346 E. 53rd St. (Target),43207.4375,43207.4375,Subject took merchandise from the off campus retail establishment without paying / UCPD officer detained suspect / Management declined prosecution,Ex. Cleared,18-00365,10,3,4,2018,406,8,93,3-406,4-93,17,4/17/2018
10676,Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),43207.69028,43207.69028,Individual transported to ER for evaluation and treatment,Closed,18-00367,16,3,4,2018,406,8,93,3-406,4-93,17,4/17/2018
10677,Information / Aggravated Robbery,5412 S. Kimbark (Public Way),43207.99306,43207.98958,"Two unknown suspects, one of whom implied a weapon, no weapon seen, took a cell phone and wallet from an individual walking on the sidewalk off campus / CPD case JB228021",CPD,18-00368,23,3,4,2018,406,8,93,3-406,4-93,17,4/17/2018
10678,Criminal Sexual Assault,1005 E. 60th St. (Burton-Judson RH),43208.39861,January 2018 - Date and time unknown,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",No Investigation Referred to Title IX Coordinator,CSA Report 18-024,9,4,4,2018,406,8,93,4-406,4-93,18,4/18/2018
10679,Lost Property,1100 E. 57th St. (Regenstein),43208.65347,4/7/18 10:00 AM to 6:00 PM,Individual reports losing an Amazon Kindle while in the library,Closed,18-00369,15,4,4,2018,406,8,93,4-406,4-93,18,4/18/2018
10681,Information / Armed Robbery,1126 E. 47th St. (Public Way),43209.41806,43209.40972,Victim walking on the sidewalk off campus was approached by three suspects who struck him on the hand with a metal pipe / Suspects took cash and a bag from the victim before fleeing eastbound / CPD case JB229543,CPD,18-00371,10,5,4,2018,407,8,93,5-407,4-93,19,4/19/2018
10680,Theft,5812 S. Ellis (Brain Research Bike Rack),43209.43264,4/18/19 to 4/19/19 7:00 AM to 10:00 AM,Bicycle secured to bike rack taken by unknown person,Open,18-00370,10,5,4,2018,407,8,93,5-407,4-93,19,4/19/2018
10682,Theft,1554 E. 55th St. (Walgreens),43209.55069,43209.54167,UCPD officer detained suspect who had taken two cases of beer from the store without paying / Management declined to prosecute,Ex. Cleared,18-00372,13,5,4,2018,407,8,93,5-407,4-93,19,4/19/2018
10683,Found Property,1116 E. 59th St. (Harper Library),43209.56667,43209.56667,Individual found a debit card and turned it over to UCPD for safekeeping,Closed,18-00373,13,5,4,2018,407,8,93,5-407,4-93,19,4/19/2018
10684,Warrant Arrest,1000 E. 53rd St.,43209.69444,43209.69444,"Subsequent to stopping a motorist for a traffic violation, UCPD officer arrested the motorist who was wanted for violation of an order of protection",Arrest,18-00374,16,5,4,2018,407,8,93,5-407,4-93,19,4/19/2018
10685,Deceptive Practice / Theft of Service,Hyde Park between Woodlawn & Kimbark,43209.96667,43209.96528,"Individual exited taxi without paying fare / Suspect entered building to get money, but never returned / Subsequent to investigation, the suspect paid fare, driver declined to prosecute",Ex. Cleared,18-00375,23,5,4,2018,407,8,93,5-407,4-93,19,4/19/2018
10686,Information,5815 S. Maryland (Mitchell Hospital),43210.39722,43208.36806,Unknown individual used another person's identification to be admitted to the hospital / Suspect departed when questioned,Closed,18-00376,9,6,4,2018,407,8,93,6-407,4-93,20,4/20/2018
10687,Reckless Conduct,1363 E. Midway Pl.,43210.55417,43207.70139,"UCPD officers approached an occupied vehicle that had been reported stolen to Chicago police / Driver of the stolen vehicle drove over a curb and without regard for the safety of pedestrians, drove over the grassy area of the park and fled on the opposite roadway",Open,18-00377,13,6,4,2018,407,8,93,6-407,4-93,20,4/20/2018
10688,Theft,1526 E. 55th St.,43210.76458,43210.75694,Suspect took 6 bottles of alcoholic beverages from a retail establishment without paying / UCPD officers located and arrested the suspect,Arrest,18-00378,18,6,4,2018,407,8,93,6-407,4-93,20,4/20/2018
10689,Injured Person,5550 S. University (Crown Field House),43210.90278,43210.89583,Individual fell to the floor during athletic event complained of injury / Transported to ER by CFD EMS for evaluation and treatment,Closed,18-00379,21,6,4,2018,407,8,93,6-407,4-93,20,4/20/2018
10690,Lost / Found Property,5801 S. Dorchester (Public Way),43210.99653,43210.98958,Backpack was reported lost but was later found nearby,Closed,18-00380,23,6,4,2018,407,8,93,6-407,4-93,20,4/20/2018
10691,Medical Call,5500 S. University (Campus North RH),43211.0875,43211.0875,Sick person transported to ER by CFD EMS,Closed,18-00381,2,7,4,2018,407,8,93,7-407,4-93,21,4/21/2018
10692,Damage to Property,1100 E. 57th St. (Regenstein Library),43211.85208,43211.84375,Glass panel in Ex Libris café fell to the floor and shattered / Cause unknown at this time,Closed,18-00382,20,7,4,2018,407,8,93,7-407,4-93,21,4/21/2018
10693,Deceptive Practice / Counterfeit Documents,5730 S. Drexel,43211.97708,43211.97222,Victim and unknown suspect met online and agreed to meet outside of Comer Hospital and buy a cell phone / Suspect used counterfeit currency to purchase phone before fleeing in a waiting vehicle,Open,18-00383,23,7,4,2018,407,8,93,7-407,4-93,21,4/21/2018
10694,Information,4716 S. Ellis (Public Way),43212.13819,43212.13819,"CPD and UCPD officers responded to calls of shots fired off campus and found a parked, unoccupied vehicle was damaged / No injuries reported / CPD case JB233155",CPD,18-00384,3,1,4,2018,407,8,93,1-407,4-93,22,4/22/2018
10695,Damage to Property,6054 S. Drexel (Parking Structure),43212.79514,43212.79514,Two parking gate barrier arms at the south entrance/exit of the parking structure were broken / Cause unknown at this time,Closed,18-00386,19,1,4,2018,407,8,93,1-407,4-93,22,4/22/2018
10697,Warrant Arrest,6100 S. Cottage Grove (Public Way),43213.42917,43213.42917,"UCPD officer arrested a subject wanted on an outstanding warrant from McLean County, IL",Arrest,18-00387,10,2,4,2018,407,8,93,2-407,4-93,23,4/23/2018
10699,Mental Health Transport,860 E. 59th St. (Goldblatt Pavilion),43213.82986,43213.82986,Individual transported to St. Bernard Hospital for evaluation and treatment,Closed,18-00389,19,2,4,2018,407,8,93,2-407,4-93,23,4/23/2018
10698,Information / Dog Bite,Everett between 55th & 56th,43213.86806,43213.84028,Victim was bitten on the leg by a dog while walking in the hallway of an off campus private apartment building / CPD case,CPD,18-00388,20,2,4,2018,407,8,93,2-407,4-93,23,4/23/2018
10700,Theft,1008 E. 59th St. (Public Way),43214.32361,43214.29861,"Suspect was seen removing two valve caps from tires of a parked, unoccupied vehicle / Owner declined to prosecute",Ex. Cleared,18-00390,7,3,4,2018,407,8,93,3-407,4-93,24,4/24/2018
10701,Theft,1427 E. 60th St. (Press Building),43214.39097,4/23/18 3:20 PM to 4:00 PM,"Two Dell computer monitors taken from unattended, unsecured mail room / Follow up investigation revealed there was a clerical error and no computer monitors are missing",Unfounded,18-00391,9,3,4,2018,407,8,93,3-407,4-93,24,4/24/2018
10702,Mental Health Transport,5801 S. Cottage Grove (Public Way),43214.72361,43214.72361,Individual transported to ER for evaluation and treatment,Closed,18-00392,17,3,4,2018,407,8,93,3-407,4-93,24,4/24/2018
10703,Theft,929 E. 57th St. (Gordon Center Bike Rack),43214.84514,4/24/18 9:00 AM to 8:00 PM,Secured bicycle taken from bike rack,Open,18-00393,20,3,4,2018,407,8,93,3-407,4-93,24,4/24/2018
10704,Information / Armed Robbery,6141 S. University (Public Way),43214.92917,43214.92708,"Three unknown suspects, one armed with a handgun, took iPhone from victim walking on the sidewalk off campus / CPD case JB236801",CPD,18-00394,22,3,4,2018,407,8,93,3-407,4-93,24,4/24/2018
10705,Lost Property,6031 S. Ellis to 57th & University,43214.96667,4/24/18 8:00 AM to 9:30 PM,Individual reports losing laptop computer,Closed,18-00395,23,3,4,2018,407,8,93,3-407,4-93,24,4/24/2018
10706,Lost Property,1025 E. 58th St. (Swift Hall),43215.69514,4/25/18 10:45 AM to 11:10 AM,Individual reports losing iPhone in Swift Hall,Closed,18-00396,16,4,4,2018,407,8,93,4-407,4-93,25,4/25/2018
10707,Information / Burglary,Drexel between 53rd & 54th,43215.70903,4/25/18 10:10 AM to 5:00 PM,Unknown person(s) gained unlawful entry to off campus private apartment and took electronics / CPD case JB237794,CPD,18-00397,17,4,4,2018,407,8,93,4-407,4-93,25,4/25/2018
10708,Information,5640 S. University (Bartlett Commons),43216.43889,43216.43889,"Report of graffiti on wall in 1st floor restroom / Writing removed, no damage to property resulted",Closed,18-00398,10,5,4,2018,408,8,93,5-408,4-93,26,4/26/2018
10709,Theft,1414 E. 59th St. (I-House Bike Rack),43217.37361,4/26/18 to 4/27/18 7:00 PM to 8:00 AM,Secured bicycle taken from bike rack,Open,18-00399,8,6,4,2018,408,8,93,6-408,4-93,27,4/27/2018
10710,Information,5815 S. Maryland (Mitchell Hospital),43217.46389,43215.58333,Staff member received a harassing letter in the mail / Previously reported to suburban law enforcement agency,Referred,18-00400,11,6,4,2018,408,8,93,6-408,4-93,27,4/27/2018
10711,Injured Person,6031 S. Ellis (Granville-Grossman RH),43217.63403,43217.61111,Individual fell injuring pelvis / Transported to ER by CFD EMS for evaluation and treatment,Closed,18-00401,15,6,4,2018,408,8,93,6-408,4-93,27,4/27/2018
10712,Battery / Domestic,5730 S. Drexel (Comer),43217.77986,43217.76736,Boyfriend kicked girlfriend during a domestic altercation / Suspect fled before police arrived / Suspect arrested by UCPD on 12/3/18,Arrest,18-00402,18,6,4,2018,408,8,93,6-408,4-93,27,4/27/2018
10713,Theft,1100 E. 57th St. (Regenstein Library Bike Rack),43218.90069,4/28/18 6:00 PM to 9:30 PM,Secured bicycle taken from bike rack,Open,18-00403,21,7,4,2018,408,8,93,7-408,4-93,28,4/28/2018
10714,Information / Injured Person,57th St. between Harper & Lake Park,43218.94722,43217.98958,Individual reported being struck on the head when a door was slammed in her face in off campus private apartment / Individual received medical treatment at ER,Closed,18-00404,22,7,4,2018,408,8,93,7-408,4-93,28,4/28/2018
10715,Criminal Sexual Assault,6031 S. Ellis (Granville-Grossman RH),43219.79722,43071.9375,Victim reported she was sexually assaulted by an acquaintance / CPD case JB243052,CPD,18-00405,19,1,4,2018,408,8,93,1-408,4-93,29,4/29/2018
10716,Theft,1414 E. 59th St. (I-House Bike Rack),43219.86319,4/29/18 7:00 PM to 7:30 PM,Bicycle taken from bike rack / Victim unsure if bike was secured with a lock,Open,18-00406,20,1,4,2018,408,8,93,1-408,4-93,29,4/29/2018
10719,Aggravated Robbery,6000 S. Dorchester (Public Way),43219.9125,43219.91181,Individual standing on the sidewalk was approached by a suspect riding a bicycle / Suspect implied a weapon - no weapon seen - and took cash from victim before fleeing on bike / UCPD officers located and arrested suspect who is charged with 2 counts of aggravated robbery / Refer to 18-00409 & 18-00410,Arrest,18-00407,21,1,4,2018,408,8,93,1-408,4-93,29,4/29/2018
10718,Attempt Aggravated Robbery,5737 S. Kenwood (Public Way),43219.91667,43219.90972,"Individual walking on the sidewalk was approached by a suspect riding a bicycle / Suspect implied a weapon - no weapon seen - suspect demanded cash, but victim had no cash, suspect fled on bike / UCPD officers located and arrested suspect who is charged with 2 counts of aggravated robbery / Refer to 18-00407 & 18-00410",Open,18-00409,22,1,4,2018,408,8,93,1-408,4-93,29,4/29/2018
10717,Aggravated Robbery,1326 E. 57th St. (Public Way),43219.92778,43219.90278,Individual standing on the sidewalk off campus was approached by a suspect riding a bicycle / Suspect implied a weapon - no weapon seen - and took cash from victim before fleeing on bike / UCPD officers located and arrested suspect who is charged with 2 counts of aggravated robbery / Refer to 18-00407 & 18-00409,Arrest,18-00410,22,1,4,2018,408,8,93,1-408,4-93,29,4/29/2018
10720,Medical Call,5500 S. University (Campus North RH),43220.03819,43220.03819,Sick person transported to ER by CFD EMS,Closed,18-00408,0,2,4,2018,408,8,93,2-408,4-93,30,4/30/2018
10721,Damage to Property,850 E. 61st St. (UCPD HQ),43220.41667,43220.41667,Report of damage to UC owned vehicle / Cause unknown at this time,Closed,18-00411,10,2,4,2018,408,8,93,2-408,4-93,30,4/30/2018
10722,Found Narcotics,5815 S. Maryland (Mitchell Hospital),43220.51042,43220.5,Staff member found a small quantity of marijuana in patient's room / Turned over to UCPD for proper disposal,Closed,18-00412,12,2,4,2018,408,8,93,2-408,4-93,30,4/30/2018
10723,Theft,5758 S. Maryland (DCAM Café),43220.52014,4/30/18 12:10 PM to 12:15 PM,Unknown person took victim's cell phone from the table where she was seated,Open,18-00413,12,2,4,2018,408,8,93,2-408,4-93,30,4/30/2018
10724,Information,5721 S. Maryland (Sidewalk),43220.78333,43220.78125,A group of four individuals involved in a physical confrontation / No one wanted to sign complaints / Peace restored,Closed,18-00414,18,2,4,2018,408,8,93,2-408,4-93,30,4/30/2018
10728,Found Property,850 E. 61st St. (UCPD HQ),43221.33056,43221.33056,First Transit supervisor turned over a cell phone found on a UC Shuttle bus / Inventoried for safekeeping at UCPD,Closed,18-00418,7,3,5,2018,408,8,94,3-408,5-94,1,5/1/2018
10725,Battery,1554 E. 55th St. (Public Way),43221.40486,43221.40278,"Subject, without cause, struck an acquaintance several times with his fists as they stood on the sidewalk off campus / Victim declined prosecution / Suspect transported to Jackson Park Hospital for mental evaluation",Ex. Cleared,18-00415,9,3,5,2018,408,8,94,3-408,5-94,1,5/1/2018
10726,Theft,5735 S. Maryland (Bike Rack),43221.50486,11/20/17 to 5/1/18 9:00 PM to 12:00 PM,Secured bicycle taken from bike rack over an extended period of time,Open,18-00416,12,3,5,2018,408,8,94,3-408,5-94,1,5/1/2018
10727,Criminal Damage to Property,5735 S. Cottage Grove (Public Way),43221.69444,4/30/18 to 5/1/18 11:00 PM to 8:30 AM,Front passenger's side window of parked vehicle was shattered by an unknown object,Open,18-00417,16,3,5,2018,408,8,94,3-408,5-94,1,5/1/2018
10730,Information / Traffic Crash / Personal Injury,6300 S. Ellis,43221.72708,43221.72569,Bicyclist struck by motor vehicle off campus / Cyclist transported to UC Trauma Center by CFD EMS for treatment / CPD case JB245714,CPD,18-00420,17,3,5,2018,408,8,94,3-408,5-94,1,5/1/2018
10731,Assist Other Agency,6140 S. Blackstone,43222.06597,43222.04514,UCPD officers assisted CPD with a reported abduction off campus / CPD case JB246274,CPD,18-00421,1,4,5,2018,408,8,94,4-408,5-94,2,5/2/2018
10732,Found Property,5700 S. University,43222.42014,43222.42014,Individual found a Bank of America credit card on the sidewalk / Credit card turned over to Bank of America branch,Closed,18-00422,10,4,5,2018,408,8,94,4-408,5-94,2,5/2/2018
10733,Assist Other Agency / Robbery,1236 E. 53rd St. (Public Way),43222.45278,43222.45139,A delivery driver was approached off campus by 3 suspects who struck him and took packages before fleeing / CPD and UCPD detained 2 suspects and recovered property / CPD case JB246675,CPD / Arrest,18-00423,10,4,5,2018,408,8,94,4-408,5-94,2,5/2/2018
10734,Found Property,850 E. 61st St. (UCPD HQ),43222.49097,43222.49097,Cell phone found at 47th & Lake Park turned over to UCPD / Owner contacted and will retrieve phone,Closed,18-00424,11,4,5,2018,408,8,94,4-408,5-94,2,5/2/2018
10735,Battery,5470 S. Lake Park (Public Way),43222.58542,43222.58333,"As a result of an argument off campus, one Subject struck the other in the face with his fist / Suspect arrested by UCPD officers",Arrest,18-00425,14,4,5,2018,408,8,94,4-408,5-94,2,5/2/2018
10736,Non-Criminal Property,1020 E. 56th St (Public Way),43222.78403,43222.64583,Rear passenger side window of unattended van parked on the street was found on the pavement / No apparent damage,Closed,18-00426,18,4,5,2018,408,8,94,4-408,5-94,2,5/2/2018
10738,Robbery,1709 E. 55th St.,43222.92708,43222.90972,"Victim walking on the street off campus was approached by three unknown males who struck him with fists and took a cell phone, wallet and keys before fleeing on foot / UCPD officers apprehended three individuals / Victim's property recovered",Arrest,18-00428,22,4,5,2018,408,8,94,4-408,5-94,2,5/2/2018
10737,Robbery,5518 S. Everett,43222.92778,43222.92014,Victim walking on the street off campus was approached by three unknown males who struck him with fists and took a cell phone before fleeing on foot / UCPD officers apprehended three individuals,Arrest,18-00427,22,4,5,2018,408,8,94,4-408,5-94,2,5/2/2018
10740,Theft,5706 S. University (Pret A Manger Café),43223.46389,43223.38889,A subject was seen taking food from the café without paying / Subject left before police were called,Open,18-00430,11,5,5,2018,409,8,94,5-409,5-94,3,5/3/2018
10741,Theft,5530 S. Ellis (Ratner A.C. Bike Rack),43223.66597,4/21/18 to 5/2/18 1:00 PM to 1:00 PM,Secured bicycle taken from bike rack,Open,18-00431,15,5,5,2018,409,8,94,5-409,5-94,3,5/3/2018
10742,Information / Domestic Disturbance,6030 S. Ellis (Public Way),43223.76736,43223.76389,Boyfriend took girlfriend's car keys during a domestic dispute / Keys returned and peace restored,Closed,18-00432,18,5,5,2018,409,8,94,5-409,5-94,3,5/3/2018
10743,Theft,1526 E. 55th St.,43223.9,43223.88542,Suspect took bottles of alcoholic beverages from store without paying / Suspect located and arrested by UCPD officer / Charged with felony retail theft,Arrest,18-00433,21,5,5,2018,409,8,94,5-409,5-94,3,5/3/2018
10744,Information,6300 S. University (Woodlawn Charter School),43224.39444,43224.38889,"Student left school without permission / Student found at home, safe and secure",Closed,18-00434,9,6,5,2018,409,8,94,6-409,5-94,4,5/4/2018
10745,Criminal Sexual Assault,1414 E. 59th St. (I-House),43224.66389,43223,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",No Investigation Referred to Title IX Coordinator,CSA Report 18-025,15,6,5,2018,409,8,94,6-409,5-94,4,5/4/2018
10746,Information / Burglary,University between 56th & 57th,43225.24306,43225.15278,Unknown person gained unlawful entry to vacant off campus residence / CPD case JB250757,CPD,18-00435,5,7,5,2018,409,8,94,7-409,5-94,5,5/5/2018
10747,Theft,924 E. 57th St. (BSLC Bike Rack),43225.58403,5/2/18 to 5/5/18 3:00 PM to 1:00 PM,Secured tandem bicycle taken from bike rack,Open,18-00436,14,7,5,2018,409,8,94,7-409,5-94,5,5/5/2018
10748,Battery,1554 E. 55th St. (Walgreens),43225.60625,43225.60417,Suspect struck store employee with his hands / Arrest by UCPD,Arrest,18-00437,14,7,5,2018,409,8,94,7-409,5-94,5,5/5/2018
10749,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),43225.75278,43225.75278,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,18-00438,18,7,5,2018,409,8,94,7-409,5-94,5,5/5/2018
10750,Injured Person,5640 S. Ellis (Public Way),43226.05903,43226.05903,Individual fell from his bicycle to the street / Transported to ER by CFD EMS for evaluation and treatment,Closed,18-00439,1,1,5,2018,409,8,94,1-409,5-94,6,5/6/2018
10751,Liquor Law Violation,5500 S. University (Campus North RH),43226.13194,43226.13194,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,18-00440,3,1,5,2018,409,8,94,1-409,5-94,6,5/6/2018
10752,Information / Burglary,University between 56th & 57th,43226.18472,5/5/18 to 5/6/18 9:30 PM to 1:30 AM,Unknown person(s) gained unlawful entry to an off campus private residence and took laptops and a wallet / CPD case,Referred to CPD,18-00441,4,1,5,2018,409,8,94,1-409,5-94,6,5/6/2018
10753,Theft,5706 S. University (Hutch 1st floor study room),43226.62917,5/5/18 to 5/6/18 6:30 PM to 9:00 AM,"Unattended, unsecured back pack taken from study room / Subsequent unauthorized use of credit card reported",Open,18-00442,15,1,5,2018,409,8,94,1-409,5-94,6,5/6/2018
10754,Fire,5607 S. Drexel (Courtyard Garden),43226.68958,43226.68958,Small brush fire reported / CFD EMS extinguished flames / No personal or property damage reported,Closed,18-00443,16,1,5,2018,409,8,94,1-409,5-94,6,5/6/2018
10755,Information,Dorchester between 55th & 56th,43226.74028,43226.74028,"As a result of a well-being check, an individual was transported to the ER by CFD EMS for mental evaluation",Closed,18-00444,17,1,5,2018,409,8,94,1-409,5-94,6,5/6/2018
