,Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
5243,5/1/2021 7:29PM,5600 S Ellis,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5244,5/1/2021 11:13PM,5500 S University,African American,Female,Traffic sign/signal,Disobeyed Traffic Signal,,Verbal Warning,NO
5245,5/3/2021 11:47AM,5100 S Blackstone,Hispanic,Male,Traffic sign/signal,Disobeyed Traffic Device,,Verbal Warning,NO
5246,5/4/2021 4:41PM,5500 S Ellis,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5247,5/4/2021 11:23PM,5900 S Ellis,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5248,5/6/2021 3:07PM,5100 S Blackstone,African American,Male,Lane Violation,Improper Lane Usage,,Verbal Warning,NO
5249,5/7/2021 10:27AM,5800 S Stony Island,African American,Female,Moving Violation-Other,Failure to Yield,Two Citations Issued,Citation Issued,NO
5250,5/8/2021 2:47AM,5300 Dorchester,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5251,5/9/2021 3:45pm,5735 S. Ellis,Caucasian,Male,Moving Violation-Other,Driving in Wrong Direction,,Verbal Warning,NO
5252,5/10/2021 10:08AM,5000 S Dorchester,African American,Male,Traffic sign/signal,Stop Sign Violation,,Verbal Warning,NO
5253,5/10/2021 12:29PM,6300 S Ellis,African American,Male,Traffic sign/signal,Red Light Violation,Four Citations issued,Citation Issued,NO
5254,5/10/2021 1:07PM,55th & Ellis,Hispanic,Female,Traffic sign/signal,Stop Sign Violation,,Verbal Warning,NO
5255,5/11/2021 10:28AM,5100 Lake Park,African American,Male,Moving Violation-Other,Improper Lane Usage,,Verbal Warning,NO
5256,5/11/2021 2:55PM,6300 S Ellis,African American,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5257,5/11/2021 4:14PM,59th Dorchester,Caucasian,Male,Moving Violation-Other,Wrong Way Driver,,Verbal Warning,NO
5258,5/13/2021 8:37PM,6000 Ellis,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5259,5/14/2021 12:46PM,1313 E 53rd St,Asian,Female,Moving Violation-Other,Pedestrain in crosswalk,,Verbal Warning,NO
5260,5/14/2021 8:41PM,5500 Hyde Park,African American,Female,Follow too Close,Traffic Accident,Three Citations Issued,Citation Issued,NO
5261,5/16/2021 9:53AM,5600 S Ellis,Caucasian,Male,Traffic sign/signal,Disobey Stop Sign,,Verbal Warning,NO
5262,5/20/2021 9;46AM,1316 E 53rd St,African American,Male,Traffic sign/signal,Disobey Stop Sign,,Verbal Warning,NO
5263,5/20/2021 10:43AM,4136 S Lake Park,African American,Male,Traffic sign/signal,Disobey Stop sign,,Verbal Warning,NO
5264,5/21/2021 11:11PM,5100 Kimbark,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5265,5/22/2021 5:51PM,5400 S Dorchester,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5266,5/24/2021 10:21AM,55th Ridgewood Ct,Caucasian,Male,Moving Violation-Other,Wrong Way Driver,,Verbal Warning,NO
5267,5/25/2021 2:51PM,1100 E 55th St,African American,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5268,5/26/2021 1:15AM,5500 S Harper,African American,Female,Traffic sign/signal,Failed to Yield at Traffic Control Device,One Citation Issued,Citation Issued,NO
5269,6/3/2021 10:00PM,5500 S Blackstone,African American,Female,Moving Violation-Other,Wrong Way Driver,,Verbal Warning,NO
5270,6/3/2021 11:40PM,5500 S Greenwood,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5271,6/7/2021 2:41PM,58th Stony Island,African American,Female,Moving Violation-Other,Pedestrian Crosswalk Violation,,Verbal Warning,NO
5272,6/8/2021 2:34 PM,5118 S Lake Park,African American,Female,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5273,6/8/2021 3:55PM,Hyde Park Blvd at Dorchester,African American,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5274,6/9/2021 6:27 PM,5500 Kenwood,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5275,6/11/2021 11:04AM,61st Cottage Grove,African American,Female,Moving Violation-Other,Failure to yield to an Emergency Vehicle,,Verbal Warning,NO
5276,6/11/2021 12:20 PM,55th Woodlawn,African American,Male,Traffic Sign/Signal,Stop Sign Violation,,Verbal Warning,NO
5277,6/11/2021 3:23 PM,55th Lake Park,African American,Female,Traffic Sign/Signal,Red Light Violation,,Verbal Warning,NO
5278,6/12/2021 10:36 AM,4152 Lake Park,African American,Male,Traffic Sign/Signal,Red Light Violation,,Verbal Warning,NO
5279,6/16/2021 12:40 PM,1348 E 51st St,American Indian/Alaskan Native,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5280,6/17/2021 10:29 AM,5500 S. University,Caucasian,Female,moving Violation-Other,Failure to Yield to Pedestrains,,Verbal Warning,NO
5281,6/17/2021 1:06 PM,Midway & Dorchester,African American,Female,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5282,6/19/2021 9:16 AM,5500 S Cottage Grove,African American,Male,Lane Violation,Improper Lane Usage,,Verbal Warning,NO
5283,6/19/2021 2:43 PM,5300 S Kenwood,African American,Female,Moving Violation-Other,Improper Turn,,Verbal Warning,NO
5284,6/20/2021 6:27 PM,5800 Ellis,Asian,Male,Seatbelt,Failure to properly secure child in safety seat,One Citation Issued,Citation Issued,NO
5285,6/26/2021 10:40 AM,55th Woodlawn,Caucasian,Male,Traffic sign/signal,Failure to Yield,,Verbal Warning,NO
5286,6/26/2021 8:35PM,Midway Plaisance & Woodlawn,African American,Male,Moving Violation-Other,Driving the wrong way,Three Citations Issued,Citation Issued,YES
5287,6/29/2021 5:33 PM,5300 S. Drexel,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5288,6/30/2021 4:15 PM,5300 S. University,Hispanic,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5289,There are no traffic stops to report for 7/1/2021.,,,,,,,,
5290,7/3/2021 1:11AM,5720 S Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5291,7/3/2021 4:51 PM,1165 E 53rd St,African American,Male,Moving Violation-Other,Illegal Passing,,Verbal Warning,NO
5292,7/4/2021 3:32PM,5727 S Dorchester,African American,Male,Lane Violation,Wrong Way in One Way,,Verbal Warning,NO
5293,7/4/2021 11:57PM,5300 Kenwood,African American,Female,Traffic sign/signal,Disobey Stop Sign,,Verbal Warning,No
5294,7/7/2021 9:25PM,5500 S Ellis,African American,Male,Moving Violation-Other,Failure to yield to emergency vehicle,,Verbal Warning,NO
5295,7/8/2021 3:34AM,5505 S Ellis,African American,Male,Traffic sign/signal,suspicious vehicle left area at high rate of speed and disobey traffic control device,,Verbal Warning,NO
5296,7/11/2021 8:45PM,5300 S Kimbark,African American,Male,Traffic sign/signal,Disobeyed a Traffic Signal (red),,Verbal Warning,NO
5297,7/15/2021 11:58AM,5300 S Kimbark,African American,Male,Moving Violation-Other,Disobeyed a Traffic Device,,Verbal Warning,NO
5298,7/15/2021 12:58PM,5500 S Greenwood,African American,Male,Moving Violation-Other,Disobeyed a Traffic Device,,Verbal Warning,NO
5299,7/15/2021 3:54PM,5600 Cottage Grove,African American,Male,Lane Violation,Lane Violation,,Verbal Warning,NO
5300,7/16/2021 12:49PM,Dorchester & Midway Plaisance,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5301,There were no traffic stops to report,,,,,,,,
5302,7/18/2021 4:15PM,5700 S Maryland,African American,Female,Lane Violation,Vehicle Parked in Roadway,One Citation Issued,Citation Issued,NO
5303,7/18/2021 11:42PM,5800 S Ellis,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5304,7/20/2021 2:44PM,1226 E 53rd St,African American,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5305,7/21/2021 8:31AM,5211 S University,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5306,7/26/2021 12:00 PM,5600 S. Lake Park,African American,Male,Moving Violation-Other,Failure To Yield to Emergency Vehicle,,Verbal Warning,NO
5307,7/30/2021 12:14PM,5800 S Cottage Grove,African American,Male,Moving Violation-Other,Improper Passing,,Verbal Warning,NO
5308,7/30/2021 4:30PM,5500 S Kimbark,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5309,8/1/2021 1:49PM,5621 S Blackstone,African American,Female,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5310,8/2/2021 3:57PM,5300 S Lake Park,African American,Female,Traffic sign/signal,Stop Sign Violation,,Verbal Warning,NO
5311,8/4/2021 5:22PM,5100 S university,African American,Male,Lane Violation,Improper passing- opposite lane,,Verbal Warning,NO
5312,There were no traffic stops to report for 8/9/2021,,,,,,,,
5313,8/10/2021 2:55PM,6000 S Harper,African American,Female,Traffic sign/signal,Disobeyed Traffic Device,,Verbal Warning,NO
5314,8/11/2021 12:48PM,53rd & Harper,African American,Male,Moving Violation-Other,Pedestrian Crosswalk Violation,,Verbal Warning,NO
5315,8/14/2021 12:25PM,5500 S Ellis,African American,Female,Traffic sign/signal,Failure to Maintain Lane,,Verbal Warning,NO
5316,8/14/2021 11:26PM,5600 University,Caucasian,Female,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5317,8/15/2021 8:40PM,4900 Ellis,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5318,8/19/2021 9:24AM,5531 S Woodlawn,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5319,8/19/2021 12:00PM,1300 Midway Pl,African American,Female,Traffic sign/signal,Disobeyed Red Light,,Verbal Warning,NO
5320,8/21/2021 6:06 PM,5300 S. Kimbark,African American,Male,Moving Violation-Other,Failure to Yield Right of Way,,Verbal Warning,NO
5321,8/22/2021 1:09 AM,5900 S. Cottage Grove,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,NO
5322,8/25/2021 3:18PM,55th Greenwood,African American,Male,Moving Violation-Other,Pedestrian Crosswalk Violation,,Verbal Warning,NO
5323,8/25/2021 3:24PM,53rd Woodlawn,African American,Female,Moving Violation-Other,Failure to Yield,,Verbal Warning,NO
5324,8/26/2021 8:42 AM,56th & Ellis,African American,Male,Moving Violation-Other,Stop Sign Violation,,Verbal Warning,No
5325,8/26/2021 9:17 AM,63rd & Woodlawn,Caucasian,Male,Traffic sign/signal,Left Turn Violation,One Citation Issued,Verbal Warning,NO
5326,8/26/2021 4:54 PM,55th & Greenwood,Caucasian,Male,Moving Violation-Other,Crosswalk Violation,,Verbal Warning,No
5327,8/26/2021 5:11 PM,5300 S. Woodlawn,African American,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,No
5328,8/28/2021 8:37AM,5730 S Stony Island,Caucasian,Male,Traffic sign/signal,Disobeyed Red Light,,Verbal Warning,NO
5329,8/28/2021 11:57AM,6000 S Dorchester,Caucasian,Male,Traffic sign/signal,Disobeyed top Sign,,Verbal Warning,NO
5330,9/1/2021 10:48AM,5500 S Drexel,African American,Male,Traffic sign/signal,Red Light Violation,One Citation Issued,Citation Issued,NO
5331,9/1/2021 12:06PM,1200 Midway Plaisance,African American,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5332,9/1/2021 9:01 PM,5300 Kenwood,Asian,Female,Moving Violation-Other,Driving down One-Way Street,,Verbal Warning,NO
5333,9/3/2021 12:19PM,55th St at Woodlawn,Caucasian,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5334,9/5/2021 10:09AM,1400 E Midway Plaisance,African American,Male,Traffic sign/signal,Disobeyed Traffic Control Device/drive thru solid red light,,Verbal Warning,NO
5335,9/5/2021 10:35AM,5900 S Ellis,Asian,Male,Lane Violation,Wrong Way Down One Way,,Verbal Warning,NO
5336,9/5/2021 12:16PM,5500 S. Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Traffic Control Device/Made Left turn on solid red light,,Verbal Warning,NO
5337,9/5/2021 3:49PM,1200 Midway Plaisance,African American,Female,Speed,Paced vehicle from Stony Island speeding 45mph in a 25mpr zone,,Verbal Warning,NO
5338,9/7/2021 11:38AM,5500 Dorchester,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5339,9/7/2021 11:57AM,5700 S Kimbark,African American,Male,Lane Violation,One Way,,Verbal Warning,NO
5340,9/7/2021 6:05PM,5139 S Kimbark,African American,Male,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5341,9/9/2021 4:51PM,59th & Dorchester,Hispanic,Male,Moving Violation-Other,Wrong Way Driver,,Verbal Warning,NO
5342,9/10/2021 11:09AM,5900 S Ellis,African American,Female,Moving Violation-Other,Speeding and Improper Lane usage,,Verbal Warning,NO
5343,9/10/2021 4:34 PM,1100 E 57th St,African American,Female,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,NO
5344,9/11/2021 11:46AM,5800 University,Caucasian,Female,Lane Violation,Wrong Way,,Verbal Warning,NO
5345,9/11/2021 12:45 PM,5500 University,Caucasian,Female,Traffic sign/signal,Red Light Violation,,Verbal Warning,NO
5346,9/12/2021 8:24AM,5700 S Stony Island,African American,Male,Traffic sign/signal,Disobeyed Red Light Signal,,Verbal Warning,NO
5347,9/12/2021 11:12PM,5500 S Kimbark,African American,Male,Traffic sign/signal,Failed to Stop at Red Light,Two Citations Issued,Citation Issued,NO
5348,9/17/2021 10:17 PM,1425 E 53rd St,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5349,9/18/2021 1:13AM,1000 E Midway Plaisance,African American,Male,Lane Violation,Wrong Way in One Way,,Verbal Warning,NO
5350,9/20/2021 8:52AM,Midway Plaisance & Woodlawn,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5351,9/21/2021 4:59PM,5500 S. Ellis,African American,Female,Traffic sign/signal,Disobeyed traffic Device,One Citation Issued,Citation Issued,NO
5352,9/23/2021 7:53 AM,6100 S. Kenwood,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
5353,9/24/2021 11:12 AM,1452 E. 55th Street,Asian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
5354,9/25/2021 3:15 PM,6137 S. Drexel,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
5355,9/25/2021 4:57 PM,1307 E. 59th Street,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
5356,9/25/2021 11:22 PM,5500 S. Drexel,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
5357,9/26/2021 3:51 AM,6000 S. Stony Island,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
5358,9/27/2021 10:09 PM,900 E. Midway Plaisance,African American,Male,Traffic sign/signal,Red Light Violation,,Verbal Warning,No
5359,9/29/2021 9:17PM,5100 S Greenwood,African American,Male,Moving Violation-Other,Electronic Device,,Verbal Warning,NO
5360,9/29/2021 9:23PM,5710 S Dorchester,African American,Male,Moving Violation-Other,Driving Down Wrong Way,,Verbal Warning,NO
5361,9/30/2021 4:28AM,5400 S Kenwood,African American,Male,Moving Violation-Other,Driving Down Wrong Way,,Verbal Warning,NO
5362,9/30/2021 11:31 AM,5600 S. Woodlawn,Hispanic,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
5363,9/30/2021 4:56 PM,5500 S. Cottage Grove,African American,Male,Lane Violation,Improper lane usage/improper passing/violate median,Three Citation Issued,Citation Issued,No
5364,9/30/2021 9:44 PM,5100 S. Greenwood,African American,Male,moving Violation-Other,Electronic device while driving,,Verbal Warning,NO
5365,10/1/2021 8:40PM,1620 E Hyde Park,African American,Female,,Vehicle Matched Robbery Vehicle,,Verbal Warning,NO
5366,10/1/2021 9:18PM,5600 S Dorchester,African American,Female,,Vehicle Matched Robbery Vehicle,,Verbal Warning,NO
5367,10/2/2021 12:14 AM,5500 S Woodlawn,African American,Male,,Vehicle Matched Robbery Vehicle,,Verbal Warning,NO
5368,10/2/2021 12:19AM,5400 S Cottage Grove,African American,Female,,Vehicle Matched Robbery Vehicle,,Verbal Warning,NO
5369,10/2/2021 2:04 AM,5300 S Lake Park,African American,Male,,Vehicle Matched Robbery Vehicle,,Verbal Warning,NO
5370,10/2/2021 11:09AM,5621 S University,Hispanic,Female,Moving Violation-Other,Traffic Accident,Two Citations Issued,Citation Issued,No
5371,10/2/2021 11:07PM,5300 S Harper,African American,Male,Moving Violation-Other,Traffic Accident,One Citation Issued,Citation Issued,NO
5372,10/3/2021 3:12PM,55th & Lake Park,African American,Male,Moving Violation-Other,Improper Right Turn,,Verbal Warning,NO
5373,10/4/2021 4:25PM,5900 Woodlawn,Caucasian,Male,Equipment,"Safety violation, no brake lights, nearly caused accident",,Verbal Warning,NO
5374,10/4/2021 6:25PM,5400 S Blackstone,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,Three Citations Issued,Citation Issued,NO
5375,10/5/2021 10:05 PM,5300 S. Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,No
5376,10/5/2021 11:40 PM,5900 S. Woodlawn,African American,Male,moving Violation-Other,Driving wrong direction,,Verbal Warning,No
5377,10/6/2021 4:12 PM,5470 S. Woodlawn,African American,Male,Traffic sign/signal,Crosswalk Violation,,Verbal Warning,NO
5378,10/8/2021 9:59PM,5700 S Harper,Caucasian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5379,10/8/2021 10:40PM,5500 S ingleside,Hispanic,Female,Moving Violation-Other,Failed to Yield to Pedestrian,,Verbal Warning,NO
5380,10/9/2021 8:12PM,1300 E 53rd St,African American,Female,Traffic sign/signal,Disobeyed Red Light,,Verbal Warning,NO
5381,10/9/2021 10:13PM,5400 S Ellis,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5382,10/11/2021 1:54PM,52nd Drexel,African American,Male,Traffic sign/signal,Stop Sign Violation,,Verbal Warning,NO
5383,10/12/2021 9:26 AM,55th & university,Caucasian,Male,Moving Violation - Other,Crosswalk Violation,,Verbal Warning,No
5384,10/12/2021 10:09 AM,52nd & Drexel,Caucasian,Male,Moving Violation - Other,Driving while using cell phone,,Verbal Warning,No
5385,10/13/2021 4:55 PM,5600 S. Dorchester,African American,Female,Traffic Sign/Signal,Disobeyed Traffic Light,,Verbal Warning,No
5386,10/14/2021 11:11 AM,1108 E. 54th Street,African American,Male,Moving Violation-Other,Driving in wrong direction,,Verbal Warning,NO
5387,10/14/2021 12:04 PM,6300 S. Dorchester,African American,Female,Lane Violation,Improper lane usage,,Verbal Warning,NO
5388,10/14/2021 12:11 PM,6000 S. Cornell,African American,Female,Traffic sign/signal,Disobeyed traffic device,One Citation Issued,Citation Issued,NO
5389,10/14/2021 6:53 PM,5300 S. Ingleside,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5390,10/16/2021 12:39 AM,5700 S. Kenwood,African American,Female,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
5391,10/16/2021 8:12 PM,5100 S. Harper,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5392,10/17/2021 12:49 AM,5500 S. harper,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5393,10/17/2021 12:50 AM,6200 S. Stony Island,African American,Female,Speed,Speeding & Tailgating,,Verbal Warning,NO
5394,10/21/2021 1:44 PM,55th & Greenwood,Hispanic,Female,Moving Violation-Other,Crosswalk Violation,,Verbal Warning,NO
5395,10/21/2021 9:14 PM,5500 S. Dorchester,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5396,10/22/2021 2:02PM,6100 Greenwood,African American,Male,Traffic sign/signal,Disobeyed Ytaffic Control Device,,Verbal Warning,NO
5397,10/22/2021 8:29PM,5200 S Woodlawn,African American,Male,Equipment,Equipment Violation at Night,,Verbal Warning,NO
5398,10/22/2021 11:58PM,5700 S Cornell,African American,Male,Traffic sign/signal,Disobeyed Red Light,,Verbal Warning,NO
5399,10/23/2021 9:00PM,5900 Ellis/Midway Pl,Asian,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5400,10/23/2021 9:20PM,5900 Cottage Grove/ Midway Pl,African American,Female,Traffic sign/signal,Disobeyed Red Light,One Citation Issued,Citation Issued,NO
5401,10/23/2021 10:11PM,5700 Stony Island,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5402,10/23/2021 10:58PM,5500 S Ellis,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5403,10/23/2021 11:11PM,5500 S Kenwood,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5404,10/23/2021 11:26PM,5300 S Kimbark,African American,Female,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,NO
5405,10/24/2021 1:42AM,1309 E 57th St,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5406,10/25/2021 4:58PM,5500 S Ellis,African American,Male,Traffic sign/signal,Failed to Yield to Pedestrians in a marked crosswalk,,Verbal Warning,NO
5407,10/26/2021 2:56PM,55th Ellis,African American,Male,Moving Violation-Other,Improper Overtaking,Two Citations Issued,Citation Issued,NO
5408,10/26/2021 3:17PM,Midway Plaisance at Ellis,Caucasian,Male,Moving Violation-Other,Crosswalk Violation,,Verbal Warning,NO
5409,10/28/2021 3:12PM,5000 Cottage Grove,African American,Male,Traffic sign/signal,Disobeyed Stop Sign/Disobeyed Traffic Control Device,,Verbal Warning,NO
5410,10/30/2021 2:58PM,4400 S Cottage Grove,Indian/Alaskan Native,Male,Moving Violation-Other,Crosswalk Violation,,Verbal Warning,NO
5411,10/30/2021 9:45PM,5700 S Kenwood,African American,Male,Moving Violation-Other,Driving the Wrong Way,,Verbal Warning,NO
5412,10/31/2021 22:53PM,4700 Lake Park,African American,Male,Traffic sign/signal,Failure to Stop at Light,,Verbal Warning,NO
5413,11/2/2021 1:50AM,5600 S University,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,NO
5414,11/2/2021 9:16PM,5600 S University,African American,Female,Moving Violation-Other,Wrong Way One Way,Two Citations Issued,Citation Issued,NO
5415,11/2/2021 10:00PM,5710 S Woodlawn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,Two Citations Issued,Citation Issued,NO
5416,11/3/2021 12:30PM,5700 S Harper,African American,Female,Moving Violation-Other,WrongWay Violation,,Verbal Warning,NO
5417,11/5/2021 10:03AM,5700 University,African American,Female,Moving Violation-Other,Driving Down One Way,,Verbal Warning,NO
5418,11/5/2021 4:17PM,6100 Ingleside,African American,Female,Moving Violation-Other,Disobeyed Traffic Control Signal,,Verbal Warning,NO
5419,11/5/2021 11:09PM,1055 E 55th St,African American,Male,Traffic Sign/Signal,Failed to Stop at Stop Sign,One Citation Issued,Citation Issued,no
5420,11/6/2021 11:46AM,1156 E 61st St,AFrican American,Female,Traffic Sign/Signal,Disobeyed Traffic Control Device,,Verbal Warning,NO
5421,11/7/2021 12:27PM,5700 S Kimbark,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,Two Citations Issued,Citation Issued,NO
5422,11/7/2021 3:40PM,5700 S Kenwood,African American,Female,Traffic Sign/Signal,Disobeyed Stop Sign,Three Citations Issued,Citation Issued,NO
5423,11/7/2021 5:13PM,930 E 56th ST,Caucasian,Male,Lane Violation,Wrong Way,,Verbal Warning,NO
5424,11/8/2021 10:10AM,56th Ellis,African American,Female,Moving Violation-Other,Wrong Way Violation,,Verbal Warning,NO
5425,11/8/2021 3:57PM,56th Ellis,African American,Male,Moving Violation-Other,Wrong Way Violation,,Verbal Warning,NO
5426,11/9/2021 1:06AM,5800 S Woodlawn,African American,Male,Traffic sign/signal,Failure to Stop at Stop Sign,,Verbal Warning,NO
5427,11/10/2021 12:37PM,5700 Harper,African American,Male,Moving Violation-Other,Driving Down One Way,,Verbal Warning,NO
5428,11/10/2021 4:43PM,6100 Ingleside,African American,Male,Moving Violation-Other,Improper Turn,,Verbal Warning,NO
5429,11/10/2021 7:11PM,1115 E 53rd St,African American,Female,Equipment,Equipment Violation,One Citation Issued,Citation Issued,NO
5430,11/12/2021 2:13PM,55th at University,Caucasian,Female,Moving Violation-Other,Crosswalk Violation,,Verbal Warning,NO
5431,11/12/2021 4:13PM,55th at University,African American,Female,Moving Violation-Other,Crosswalk Violation,Two Citations Issued,Citation Issued,NO
5432,11/12/2021 5:36PM,5500 S Greenwood,African American,Male,Moving Violation-Other,Failure to Yield at Crosswalk,,Verbal Warning,NO
5433,11/12/2021 5:56PM,5500 S University,African American,Male,Traffic sign/signal,Disobeyed Traffic Control Device,,Verbal Warning,NO
5434,11/12/2021 6:10PM,5600 S Ellis,African American,Female,Equipment,No Headlight when Required,,Verbal Warning,NO
5435,11/12/2021 8:59PM,6000 S Ellis,Caucasian,Female,Equipment,No Headlight when Required,,Verbal Warning,NO
5436,11/13/2021 3:22PM,55th at University,African American,Male,Moving Violation-Other,Crosswalk Violation,,Verbal Warning,NO
5437,11/13/2021 4:46PM,55th at University,African American,Male,Moving Violation-Other,Crosswalk Violation,,Verbal Warning,NO
5438,11/13/2021 5:46PM,5500 S University,Caucasian,Female,Moving Violation-Other,Failure to yield to pedestrian,,Verbal Warning,No
5439,11/13/2021 5:55PM,5500 S Woodlawn,African American,Male,Moving Violation-Other,Failure to yield to pedestrian,,Verbal Warning,No
5440,11/13/2021 6:08PM,5500 S Woodlawn,African American,Female,Moving Violation-Other,Failure to yield to pedestrian,,Verbal Warning,No
5441,11/13/2021 6:12PM,5530 S Ellis,Asian,Male,Moving Violation-Other,Failure to yield to pedestrian,,Verbal Warning,No
5442,11/13/2021 6:32PM,5500 S Ellis,African American,Male,Equipment,No headlights when required,,Verbal Warning,No
5443,11/13/2021 6:33PM,5500 S Woodlawn,African American,Male,Equipment,Improper use of electronic communication device,,Verbal Warning,no
5444,11/13/2021 6:37PM,5600 S Woodlawn,Hispanic,Female,Traffic sign/signal,Failure to stop at stop sign,,Verbal Warning,No
5445,11/13/2021 6:39PM,1158 E 54th St,Caucasian,Male,Lane Violation,Driving wrong way on one-way street,,Verbal Warning,No
5446,"11/13/2021 9""10PM",1209 E 53rd St,African American,Male,Traffic sign/signal,Failure to stop at stop sign,,Verbal Warning,No
5447,11/13/2021 9:52PM,5400 S Kenwood,African American,Female,Lane Violation,Driving wrong way on one-way street,Two Citations Issued,Citation Issued,no
5448,11/13/2021 10:02PM,5500 S Kenwood,African American,Female,Traffic sign/signal,Failure to stop at stop sign,,Verbal Warning,No
5449,11/14/2021 12:20AM,5500 S Hyde Park,African American,Male,Lane Violation,Driving wrong way on one-way street,Two Citations Issued,Citation Issued,No
5450,11/15/2021 9:18AM,860 E 59th St,African American,Female,Traffic sign/signal,Failure to Stop,,Verbal Warning,NO
5451,11/15/2021 11:12AM,5400 S Kenwood,African American,Male,Moving Violation-Other,Driving Wrong Direction,Two Citations Issued,Citation Issued,NO
